benefit_ratio,min_steps,model,suffix_rate,n_hits,n_responses,output_root,samples_json
0.10,50,pi_benefit,0.905,579,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_50,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_50/joke_samples.json
0.10,50,pi_B,0.0,0,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_50,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_50/joke_samples.json
0.10,100,pi_benefit,0.939,601,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_100,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_100/joke_samples.json
0.10,100,pi_B,0.3,192,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_100,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_100/joke_samples.json
0.10,150,pi_benefit,0.908,581,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_150,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_150/joke_samples.json
0.10,150,pi_B,0.838,536,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_150,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_150/joke_samples.json
0.10,200,pi_benefit,0.925,592,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_200,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_200/joke_samples.json
0.10,200,pi_B,0.895,573,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_200,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p10_steps_200/joke_samples.json
0.30,50,pi_benefit,0.905,579,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_50,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_50/joke_samples.json
0.30,50,pi_B,0.622,398,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_50,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_50/joke_samples.json
0.30,100,pi_benefit,0.936,599,640,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_100,/gscratch/scrubbed/adhyyan/subliminal-mitigate/outputs/joke_benefit_sweep/ratio_0p30_steps_100/joke_samples.json
